price,size_m2,district,floor,total_floors,year_built,amenities,market,building_material,heating,condition,latitude,longitude,property_type
695000.0,46.0,unknown,2.0,6.0,2017.0,"hasBalcony, hasElevator, hasStorageRoom",unknown,unknown,unknown,unknown,50.0108036067055,19.889806322205,blockOfFlats
600000.0,42.0,unknown,2.0,3.0,2017.0,"hasBalcony, hasElevator, hasSecurity",unknown,brick,unknown,unknown,50.013080870931,19.9057461620357,apartmentBuilding
989000.0,69.0,unknown,2.0,2.0,2008.0,"hasBalcony, hasSecurity",unknown,brick,unknown,unknown,50.0502786140221,19.9290725310751,tenement
599000.0,73.0,unknown,3.0,4.0,2008.0,"hasBalcony, hasStorageRoom",unknown,unknown,unknown,unknown,50.006,20.0086,blockOfFlats
1228900.0,53.9,unknown,1.0,2.0,2008.0,"hasBalcony, hasParkingSpace",unknown,brick,unknown,unknown,50.0709,19.9362,tenement
459000.0,52.0,unknown,3.0,4.0,2008.0,"hasBalcony, hasElevator, hasStorageRoom",unknown,unknown,unknown,unknown,50.095,20.0034,blockOfFlats
799000.0,75.93,unknown,1.0,5.0,2014.0,"hasBalcony, hasElevator",unknown,unknown,unknown,unknown,50.0492,19.9878,blockOfFlats
549000.0,60.0,unknown,2.0,2.0,2022.0,"hasBalcony, hasParkingSpace, hasStorageRoom",unknown,brick,unknown,unknown,50.095,20.0444,apartmentBuilding
539000.0,48.0,unknown,3.0,7.0,2012.0,"hasBalcony, hasElevator, hasParkingSpace, hasSecurity",unknown,brick,unknown,unknown,50.0928,20.0232,apartmentBuilding
450000.0,45.0,unknown,3.0,10.0,2008.0,"hasBalcony, hasStorageRoom",unknown,unknown,unknown,unknown,50.0130998,19.9686961,blockOfFlats
450000.0,45.0,unknown,3.0,10.0,1980.0,"hasBalcony, hasElevator, hasParkingSpace, hasStorageRoom",unknown,concreteSlab,unknown,unknown,50.0131019,19.9686878,blockOfFlats
490000.0,46.0,unknown,5.0,5.0,2008.0,"hasBalcony, hasElevator, hasStorageRoom",unknown,unknown,unknown,unknown,50.0871163,20.0305437,unknown
1399000.0,68.38,unknown,1.0,3.0,1891.0,"hasElevator, hasStorageRoom",unknown,brick,unknown,premium,50.0578804,19.9294621,tenement
455000.0,45.0,unknown,3.0,10.0,1978.0,"hasBalcony, hasElevator, hasStorageRoom",unknown,concreteSlab,unknown,low,50.0131019,19.9686878,blockOfFlats
380000.0,28.57,unknown,1.0,1.0,1946.0,hasStorageRoom,unknown,brick,unknown,unknown,50.0381633,19.973858,tenement
619000.0,47.08,unknown,4.0,4.0,1970.0,"hasBalcony, hasStorageRoom",unknown,brick,unknown,unknown,50.07628,19.92458,blockOfFlats
730000.0,50.42,unknown,2.0,4.0,1970.0,"hasBalcony, hasStorageRoom",unknown,concreteSlab,unknown,unknown,50.0884928,19.9269536,blockOfFlats
719000.0,48.8,unknown,3.0,4.0,2008.0,"hasBalcony, hasStorageRoom",unknown,unknown,unknown,unknown,50.0432,19.9316,blockOfFlats
1175900.0,54.4,unknown,2.0,7.0,2008.0,"hasElevator, hasSecurity",unknown,brick,unknown,unknown,50.0548,19.9611,apartmentBuilding
